kwid,bid
10618,9521
8908,9519
8912,9519
8921,9519
10620,9519
10621,9519
10622,9519
10619,9519
10623,9519
10624,9519
10631,9524
10629,9524
10630,9524
10646,9525
10647,9528
10648,9528
10649,9528
10650,9518
10651,9518
10652,9518
10653,9518
10654,9518
10655,9518
10656,9529
10657,9529
10658,9529
10692,9494
10693,9494
10694,9494
7670,9533
10755,9533
10756,9533
10757,9533
10758,9533
10761,9534
10762,9534
10763,9534
10737,9530
10738,9530
10739,9530
10816,9539
10817,9539
10815,9539
10818,9539
10838,9531
10839,9531
10845,9541
10846,9541
10844,9541
7682,9542
7683,9542
7079,9542
10854,9542
10855,9542
10856,9542
10857,9542
10858,9542
10902,9546
10904,9546
10903,9546
11027,9548
11022,9548
11023,9548
11024,9548
11025,9548
11026,9548
11028,9548
6554,9406
6555,9406
6563,9406
6556,9406
6562,9406
6557,9406
6560,9406
6561,9406
6564,9406
6565,9406
6566,9406
6567,9406
11045,9480
11044,9480
11041,9480
11042,9480
11043,9480
11059,9552
11060,9552
11062,9552
11061,9552
11058,9552
11063,9552
8882,9553
8883,9553
8884,9553
8885,9553
8886,9553
8887,9553
8888,9553
9593,9553
9720,9553
10032,9553
10146,9553
10275,9553
10599,9553
10626,9553
10628,9553
10825,9553
10830,9553
8929,9553
8933,9553
8935,9553
10622,9553
10089,9553
10091,9553
10092,9553
10093,9553
10094,9553
10508,9553
10619,9553
10623,9553
10624,9553
8882,9555
8883,9555
8884,9555
8885,9555
8886,9555
8887,9555
8888,9555
9593,9555
9595,9555
9720,9555
10031,9555
10032,9555
10146,9555
10275,9555
10276,9555
10599,9555
10600,9555
10601,9555
10602,9555
10625,9555
10626,9555
10627,9555
10628,9555
10825,9555
10826,9555
10827,9555
10828,9555
10829,9555
10830,9555
10831,9555
10832,9555
10867,9555
8929,9555
8932,9555
8933,9555
10089,9555
10091,9555
10092,9555
10093,9555
10094,9555
10508,9555
10619,9555
10623,9555
10624,9555
11163,9565
11164,9565
11165,9565
11188,9570
11189,9570
11190,9570
11191,9570
11192,9570
11193,9570
11194,9570
11219,9576
11220,9576
11221,9576
11222,9576
11219,9577
11220,9577
11221,9577
11222,9577
11233,9578
11235,9579
11250,9564
11249,9564
11251,9564
11248,9564
6723,9583
6718,9583
6714,9583
10651,9583
10655,9583
10650,9583
6776,9583
8625,9583
8627,9583
8635,9583
8637,9583
8640,9583
8644,9583
8641,9583
11457,9516
11229,9580
11231,9580
11228,9580
11230,9580
11232,9580
9725,9580
9909,9580
10208,9580
11241,9581
11243,9581
11244,9581
11240,9581
11242,9581
11458,9596
11459,9596
7069,9605
9384,9605
9392,9605
10928,9605
11262,9605
9114,9511
9131,9511
7417,9606
7430,9606
7439,9606
7446,9606
11558,9587
11559,9587
11591,9592
11592,9585
11598,9613
11599,9613
11600,9613
11601,9613
11602,9613
11639,9634
8958,9636
11669,9636
11670,9636
11671,9636
11673,9636
11612,9558
11613,9558
7083,9642
9673,9642
9922,9642
9925,9642
9977,9642
10463,9642
11452,9642
10473,9642
11468,9642
11571,9642
7979,9644
7980,9644
7984,9644
10406,9644
10526,9644
11774,9645
11777,9645
11775,9645
11776,9645
11785,9646
11786,9646
8018,9646
11788,9646
9859,9648
11802,9648
11803,9648
11804,9648
11805,9648
9136,9647
10449,9647
11809,9647
11810,9647
11811,9647
11812,9647
11826,9614
11827,9614
11828,9614
10106,9653
10740,9653
11848,9653
11849,9649
10857,9649
11851,9649
10406,9641
7980,9641
11852,9641
11853,9641
11520,9655
11855,9655
11854,9655
11857,9659
11856,9659
11874,9660
11875,9660
11890,9663
11891,9663
11892,9663
9116,9664
9124,9664
11914,9664
11915,9664
11928,9667
11929,9667
11930,9667
11931,9667
10157,9670
11964,9680
11963,9680
11965,9680
11804,9674
11805,9674
11959,9674
11960,9674
11961,9674
11962,9674
6597,9683
6596,9683
11989,9683
11990,9683
6584,9683
11992,9683
11993,9683
11954,9678
11955,9678
11956,9678
11957,9678
11958,9678
11952,9677
11953,9677
10406,9676
11946,9676
11948,9676
11949,9676
11950,9676
11951,9676
11943,9675
11944,9675
11945,9675
7689,9688
7691,9688
7696,9688
9779,9688
10589,9688
12011,9688
12012,9688
12013,9688
12014,9685
12015,9685
12016,9685
12017,9685
6884,9689
11599,9689
11600,9689
12023,9689
12022,9689
6920,9689
7274,9692
7282,9692
7285,9692
11360,9692
12035,9692
12036,9692
12037,9692
12038,9692
12026,9690
12028,9690
12051,9697
12052,9696
12053,9696
7978,9699
7979,9699
7980,9699
7981,9699
7986,9699
10418,9699
11948,9699
11949,9699
11951,9699
12060,9700
7070,9703
9676,9703
9791,9703
7114,9703
7119,9703
7123,9703
12064,9703
12066,9703
12067,9703
12068,9703
12073,9704
12074,9704
12075,9704
12076,9704
12072,9701
12088,9709
12089,9709
12090,9709
10586,9705
12098,9705
12099,9708
8571,9708
12100,9706
12101,9707
12102,9707
10116,9713
10857,9713
11558,9713
12116,9713
12118,9713
12128,9714
12129,9714
12130,9716
12131,9716
12133,9716
12134,9716
12095,9716
12132,9716
7067,9723
7082,9723
9671,9723
9673,9723
7102,9723
7111,9723
12158,9723
12159,9723
12160,9723
12161,9723
7116,9691
12162,9691
12163,9691
12177,9726
12178,9726
12179,9726
11380,9724
12180,9724
12182,9724
12183,9724
12184,9724
12226,9728
12225,9728
7984,9730
10406,9730
10412,9730
10527,9730
10530,9730
10533,9730
12228,9730
12229,9730
12230,9730
12231,9730
12258,9732
12259,9732
9634,9734
10137,9734
11189,9734
12263,9734
12266,9734
12264,9734
12265,9734
12267,9734
8693,9735
12276,9738
12277,9738
12278,9738
12279,9738
12280,9739
12281,9739
12282,9739
12283,9739
12284,9739
12285,9739
12286,9739
12287,9742
12288,9742
12289,9736
12290,9736
12291,9736
12292,9736
12293,9737
12290,9737
12291,9737
12292,9737
7362,9746
11857,9746
10945,9746
11369,9746
11661,9746
12063,9746
12284,9746
12304,9746
12314,9746
12315,9746
12317,9747
12318,9747
12322,9747
12319,9747
12320,9747
12321,9747
12316,9747
11802,9748
12323,9748
12088,9748
12169,9748
12324,9748
12327,9748
12325,9748
12326,9748
12330,9750
7066,9751
7070,9751
7073,9751
7079,9751
9926,9751
9962,9751
9979,9751
10157,9751
11558,9751
7092,9751
7099,9751
7101,9751
7114,9751
7116,9751
7126,9751
9886,9751
10914,9751
11559,9751
12339,9754
12341,9754
6723,9754
10471,9754
11732,9754
11733,9754
9157,9754
12340,9754
12342,9754
8972,9752
8975,9752
12343,9752
12344,9752
12345,9752
12346,9752
12289,9752
12359,9756
12360,9756
12361,9756
12362,9756
12363,9756
12368,9757
10641,9757
12369,9757
12370,9757
7079,9759
7083,9759
9671,9759
9672,9759
9673,9759
9676,9759
12378,9759
7088,9759
7089,9759
7092,9759
7094,9759
7114,9759
7116,9759
7135,9759
10499,9759
11714,9759
11715,9759
12382,9672
12383,9672
12384,9672
12385,9672
12386,9672
12387,9672
12388,9672
12389,9672
7070,9762
7091,9762
11793,9762
7114,9762
7122,9762
7123,9762
12066,9762
12160,9762
12161,9762
12405,9762
12406,9762
8895,9763
10423,9763
12413,9763
8900,9763
8901,9763
8904,9763
8906,9763
8923,9763
8925,9763
10419,9763
10421,9763
10422,9763
12225,9763
12411,9763
12412,9763
7079,9764
11558,9764
12414,9764
12415,9764
12416,9764
7088,9764
7092,9764
7100,9764
10005,9764
10006,9764
10577,9764
10807,9764
6920,9758
6921,9758
12417,9758
12418,9758
12419,9758
12420,9758
12421,9758
12434,9765
12431,9765
12432,9765
12435,9765
12433,9765
7827,9766
7831,9766
7856,9766
9822,9766
11505,9766
12005,9766
10317,9766
8587,9766
8592,9766
12454,9766
9802,9766
11664,9766
12455,9766
12456,9766
12457,9766
7066,9769
7070,9769
7073,9769
7094,9769
7100,9769
7110,9769
7111,9769
7123,9769
12068,9769
12108,9769
12161,9769
12163,9769
12400,9769
12406,9769
11715,9769
13287,9770
11582,9770
12381,9770
10596,9770
10610,9770
12060,9770
12447,9770
11551,9771
13292,9771
13290,9771
13289,9771
13291,9771
10597,9771
10598,9771
10610,9771
12060,9771
12447,9771
6554,9772
10164,9772
10166,9772
12885,9772
12898,9772
12899,9772
13293,9772
10054,9772
12455,9772
7414,9774
7415,9774
11291,9774
13278,9774
13318,9774
13319,9774
13320,9774
7495,9774
7509,9774
8994,9773
10325,9773
8995,9773
9015,9773
9016,9773
12729,9773
12730,9773
9020,9773
9024,9773
7070,9776
7073,9776
9672,9776
9673,9776
9926,9776
7110,9776
7114,9776
7122,9776
12161,9776
7135,9776
10474,9776
12332,9776
12334,9776
13326,9784
6837,9783
6839,9783
9156,9783
9157,9783
9167,9783
11883,9783
11889,9783
7067,9785
7070,9785
7072,9785
7106,9785
10807,9785
11790,9785
11793,9785
12109,9785
12110,9785
13256,9785
7109,9785
7112,9785
10156,9785
10613,9785
11800,9785
12068,9785
13303,9785
13333,9785
7135,9785
11714,9785
10016,9785
10018,9785
10474,9785
10933,9785
10934,9785
7668,9785
7670,9785
7673,9785
7674,9785
12130,9785
12131,9785
12134,9785
7415,9792
7417,9792
7419,9792
7441,9792
7449,9792
10475,9792
11291,9792
11652,9792
7454,9792
7459,9792
13249,9792
7493,9792
9665,9792
10292,9792
11677,9792
7547,9792
7551,9792
7560,9792
7564,9792
8946,9792
8949,9792
11673,9792
13380,9789
12169,9789
13381,9789
10404,9793
10816,9793
13383,9793
13385,9793
6588,9795
6590,9795
6592,9795
10978,9795
11964,9795
11989,9795
11963,9795
11965,9795
11993,9795
7098,9794
7100,9794
7099,9794
7691,9788
12895,9788
12899,9788
13293,9788
13327,9788
13335,9788
13389,9788
13390,9788
13392,9788
9061,9788
9064,9788
9802,9788
9133,9788
10457,9788
13388,9788
13391,9788
13396,9796
13398,9796
13395,9796
13397,9796
7976,9797
7978,9797
7979,9797
7980,9797
7983,9797
7984,9797
10406,9797
13309,9797
9672,9798
13409,9798
13410,9798
13411,9798
13412,9798
9057,9801
9998,9801
9999,9801
10050,9801
10054,9801
10163,9801
10205,9801
10210,9801
11712,9801
12455,9801
13265,9801
13298,9801
13445,9801
8945,9802
8949,9802
8958,9802
8960,9802
8961,9802
11669,9802
11673,9802
11612,9805
11613,9805
12258,9805
13381,9805
13487,9805
11987,9800
11988,9800
12185,9800
13288,9800
11983,9800
13495,9806
13496,9806
13497,9806
13498,9806
10013,9806
10043,9806
10044,9806
13397,9806
11140,9808
13508,9808
7456,9808
7467,9808
7499,9808
7515,9808
13506,9808
13509,9808
7571,9808
13152,9808
13507,9808
13513,9809
13512,9809
9221,9810
9134,9810
13514,9810
10523,9810
7422,9810
12100,9810
13250,9810
10773,9810
11911,9810
12016,9811
12017,9811
13257,9811
13544,9811
13545,9811
13487,9812
11291,9812
11652,9812
9132,9814
9135,9814
9738,9814
10521,9814
12358,9814
13269,9814
13577,9814
13578,9814
13579,9814
11804,9815
11960,9815
13597,9815
6880,9816
11804,9816
13598,9816
9762,9817
11599,9817
11804,9817
11960,9817
12023,9817
13599,9817
9399,9818
9408,9818
9414,9818
9444,9818
9447,9818
10063,9818
10592,9818
10730,9818
13288,9818
10327,9823
10325,9823
10541,9823
8991,9823
8994,9823
13337,9823
12499,9823
12730,9823
11674,9824
13650,9824
13651,9824
9056,9825
13652,9825
13653,9825
13654,9821
13655,9821
7979,9821
7980,9821
10404,9821
10406,9821
13657,9826
13658,9826
7645,9826
13244,9826
11793,9828
10756,9828
10084,9828
10086,9828
10088,9828
10091,9828
10092,9828
9673,9838
9922,9838
9926,9838
10114,9838
10611,9838
13697,9838
7101,9838
10473,9838
10474,9838
12335,9838
13698,9838
9671,9466
7096,9466
10118,9466
10119,9466
7495,9466
7509,9466
7519,9466
7543,9466
7558,9466
7566,9466
7571,9466
7578,9466
7670,9466
11599,9852
12386,9852
13722,9852
13721,9852
13723,9852
13749,9855
13750,9855
13751,9855
13752,9855
13753,9855
10508,9866
13759,9854
13760,9854
13761,9868
13769,9875
